忠明平日PM2.5,埔里平日PM2.5,線西平日PM2.5,忠明假日PM2.5,埔里假日PM2.5,線西假日PM2.5
7 ,23 ,26 ,36 ,12 ,32 
9 ,27 ,24 ,38 ,12 ,28 
10 ,32 ,21 ,42 ,30 ,33 
12 ,34 ,18 ,32 ,44 ,37 
11 ,38 ,17 ,38 ,43 ,37 
19 ,41 ,15 ,44 ,43 ,38 
15 ,43 ,14 ,48 ,46 ,39 
15 ,41 ,15 ,49 ,45 ,42 
9 ,34 ,11 ,45 ,43 ,45 
7 ,29 ,10 ,43 ,43 ,47 
7 ,30 ,11 ,37 ,39 ,48 
6 ,31 ,13 ,30 ,34 ,44 
11 ,27 ,14 ,28 ,38 ,38 
8 ,27 ,10 ,28 ,37 ,34 
9 ,27 ,9 ,21 ,33 ,29 
4 ,25 ,11 ,23 ,37 ,28 
7 ,26 ,14 ,19 ,40 ,28 
8 ,22 ,13 ,25 ,41 ,30 
18 ,20 ,10 ,28 ,38 ,34 
22 ,30 ,15 ,35 ,38 ,37 
20 ,27 ,17 ,37 ,35 ,33 
14 ,15 ,18 ,32 ,29 ,32 
16 ,13 ,18 ,33 ,24 ,38 
23 ,15 ,14 ,39 ,24 ,41 
25 ,17 ,16 ,47 ,25 ,41 
29 ,28 ,18 ,48 ,25 ,50 
32 ,35 ,20 ,60 ,31 ,64 
24 ,32 ,16 ,68 ,41 ,69 
22 ,32 ,11 ,88 ,44 ,72 
19 ,30 ,12 ,91 ,47 ,79 
19 ,30 ,15 ,89 ,46 ,77 
22 ,28 ,14 ,80 ,41 ,72 
25 ,23 ,15 ,63 ,40 ,65 
27 ,25 ,20 ,50 ,32 ,52 
24 ,30 ,19 ,25 ,30 ,40 
25 ,34 ,17 ,12 ,28 ,34 
22 ,32 ,15 ,6 ,19 ,33 
24 ,31 ,11 ,13 ,17 ,33 
18 ,32 ,15 ,20 ,17 ,30 
21 ,27 ,18 ,28 ,13 ,31 
12 ,26 ,19 ,29 ,13 ,30 
11 ,29 ,18 ,25 ,15 ,30 
8 ,32 ,12 ,22 ,11 ,34 
14 ,35 ,10 ,29 ,18 ,38 
20 ,30 ,11 ,35 ,19 ,43 
20 ,23 ,13 ,36 ,12 ,49 
23 ,16 ,10 ,32 ,17 ,48 
16 ,17 ,8 ,40 ,24 ,47 
11 ,23 ,14 ,46 ,38 ,46 
5 ,23 ,15 ,48 ,51 ,69 
7 ,19 ,13 ,54 ,54 ,70 
14 ,18 ,12 ,53 ,60 ,47 
10 ,29 ,10 ,58 ,66 ,47 
11 ,40 ,9 ,61 ,71 ,56 
10 ,43 ,15 ,71 ,70 ,62 
7 ,40 ,13 ,73 ,70 ,67 
8 ,35 ,11 ,79 ,72 ,74 
6 ,31 ,19 ,80 ,69 ,78 
18 ,27 ,15 ,77 ,69 ,79 
21 ,30 ,14 ,69 ,64 ,79 
29 ,31 ,14 ,67 ,58 ,79 
19 ,28 ,15 ,63 ,59 ,75 
14 ,26 ,16 ,56 ,56 ,70 
18 ,27 ,15 ,49 ,45 ,72 
23 ,26 ,15 ,57 ,41 ,66 
27 ,27 ,23 ,59 ,39 ,55 
22 ,32 ,25 ,62 ,43 ,53 
39 ,35 ,20 ,56 ,43 ,55 
44 ,34 ,21 ,58 ,30 ,55 
44 ,24 ,24 ,44 ,22 ,55 
43 ,25 ,26 ,47 ,18 ,54 
36 ,35 ,28 ,53 ,20 ,54 
29 ,48 ,22 ,63 ,30 ,56 
23 ,56 ,16 ,63 ,43 ,55 
20 ,49 ,19 ,61 ,60 ,55 
11 ,48 ,18 ,62 ,74 ,56 
21 ,54 ,12 ,64 ,83 ,61 
24 ,53 ,8 ,67 ,86 ,74 
24 ,46 ,9 ,66 ,88 ,79 
19 ,40 ,12 ,74 ,89 ,84 
