Time,Temp,PM10,PM2.5,Rain,RH,Wind
09:00,17,11,9,0,67,0.5
10:00,19,13,19,0,60,0.9
11:00,20,18,21,0,57,1.4
12:00,21,28,19,0,56,1.3
13:00,21,38,13,0,58,2.3
14:00,21,49,16,0,58,2.5
15:00,20,49,14,0,60,2.4
16:00,19,49,13,0,64,2.3
17:00,18,44,12,0,68,0.8
18:00,17,42,19,0,70,0.7
19:00,17,40,23,0,72,0.7
20:00,16,35,15,0,72,0.6
21:00,16,29,19,0,74,0.5
22:00,15,26,18,0,75,0.6
23:00,15,31,18,0,76,0.7
00:00,15,34,18,0,76,0.5
01:00,16,36,21,0,75,0.4
02:00,16,26,29,0,75,0.2
03:00,16,28,19,0,75,0.7
04:00,16,28,14,0,76,0.1
05:00,16,43,18,0,77,0.2
