忠明 PM10,忠明 PM2.5,忠明 RH,忠明 Temp,忠明 Rain,忠明 Wind
65,50,28,15,0,1.3
50,25,26,15,0,1.2
35,12,26,15,0,1.5
32,6,30,14,0,0.5
21,13,31,14,0,0.6
21,20,37,13,0,0.6
31,28,54,12,0,0.2
46,29,60,11,0,0.5
50,25,48,12,0,0.2
58,22,50,13,0,0.7
54,29,37,15,0,0.3
55,35,26,18,0,0.4
59,36,33,20,0,1.4
65,32,34,21,0,1
85,40,34,22,0,1.4
84,46,38,21,0,2.1
103,48,42,21,0,1.7
108,54,44,20,0,0.9
117,53,47,19,0,0.9
114,58,48,19,0,1.7
117,61,50,18,0,0.5
122,71,54,18,0,0.3
127,73,55,17,0,0.2
130,79,59,17,0,0.3
133,80,60,16,0,0.3
134,77,62,16,0,0.1
125,69,63,15,0,0.2
117,67,64,15,0,0.3
99,63,62,14,0,0.2
86,56,64,14,0,0.1
79,49,68,13,0,0.5
78,57,70,12,0,0.4
77,59,68,13,0,0.3
79,62,62,14,0,0.4
76,56,49,17,0,0.5
72,58,37,19,0,0.8
61,44,32,21,0,0.8
74,47,34,22,0,0.6
90,53,39,22,0,1.5
97,63,52,21,0,2.3
91,63,57,19,0,2.2
89,61,58,18,0,1
95,62,60,18,0,1.2
104,64,65,18,0,1.1
118,67,64,18,0,0.9
119,66,60,18,0,0.9
112,74,59,17,0,0.1
105,75,64,16,0,0.1
117,79,65,16,0,0.4
118,72,63,17,0,0.4
108,73,62,17,0,0.1
97,73,64,17,0,0.7
98,75,64,17,0,0.2
99,69,65,16,0,0.3
89,69,63,17,0,0.1
83,68,64,17,0,1
93,66,72,16,0,1.3
106,67,67,17,0,0.6
108,66,59,19,0,0.2
105,72,53,21,0,0.5
96,64,47,21,0,0.2
95,64,43,22,0,0.3
94,66,43,23,0,0.3
95,63,38,23,0,0.5
101,60,48,23,0,1.2
106,62,55,22,0,0.8
113,68,59,21,0,0.5
120,74,61,20,0,0.8
124,72,63,19,0,0.8
115,72,64,19,0,0.8
93,55,73,18,0,0.8
66,42,77,17,0,1.1
51,26,78,17,0,0.6
44,28,78,17,0,0.8
46,26,78,17,0,0.9
54,36,77,17,0,0.9
59,38,76,17,0.2,0.8
54,37,74,17,0.6,0.5
47,38,74,17,0.6,1.4
47,35,76,16,0.2,1.2
51,39,77,16,0.2,1.7
63,44,76,17,0,0.5
72,45,74,18,0,0.7
84,44,73,18,0,1.2
86,42,69,20,0,0.5
74,36,66,21,0,0.9
73,38,69,20,0,1.4
63,37,69,20,0,0.8
69,44,72,19,0,1.4
75,46,74,19,0,1
84,48,74,18,0,0.9
84,47,73,18,0,0.6
68,40,71,18,0,0.9
70,40,70,18,0,0.9
71,44,70,18,0,0.5
82,46,70,18,0,0.5
83,46,71,18,0,0.4
84,48,74,18,0,0.6
83,50,79,17,0,0.8
79,53,81,17,0,0.9
79,47,83,17,0,1
66,42,84,17,0.4,0.3
45,33,86,17,0.2,0.6
34,33,86,17,0,0.3
35,36,89,17,0,0.3
39,32,86,18,0,0.6
40,30,81,18,0,0.7
31,25,76,19,0,0.6
39,27,74,19,0,1.1
41,25,72,20,0,0.8
54,25,70,20,0,1.2
56,32,70,20,0,1
64,29,70,20,0,1.1
63,33,72,19,0,1.3
64,29,73,18,0,0.8
58,32,72,18,0,0.9
52,24,72,18,0,1.7
37,21,71,17,0,1.5
24,16,71,17,0,1.3
17,21,70,17,0,1.7
26,21,69,17,0,1.4
33,20,68,16,0,1
28,12,68,16,0,1.7
20,8,68,16,0,1.2
13,10,69,16,0,0.6
13,15,70,16,0,0.6
9,10,70,16,0,1.3
9,9,70,15,0,0.9
14,6,70,16,0,1.3
22,5,67,17,0,1
24,6,62,18,0,1.4
18,5,58,19,0,0.8
19,7,54,21,0,0.9
21,9,52,21,0,1.7
20,3,54,21,0,0.9
19,7,55,20,0,1.2
28,9,57,20,0,1
41,10,59,19,0,1.1
37,12,61,18,0,0.7
28,11,63,17,0,0.7
23,19,65,17,0,0.7
28,15,66,17,0,0.7
24,15,67,17,0,0.5
16,9,67,17,0,0.9
15,7,68,16,0,0.5
17,7,69,16,0,0.9
16,6,69,16,0,0.6
16,11,70,16,0,0.8
17,8,70,16,0,0.6
25,9,70,16,0,0.9
17,4,71,16,0,0.7
14,7,71,16,0,0.7
13,8,72,16,0,0.5
22,18,70,17,0,0.6
30,22,66,18,0,1.2
33,20,61,20,0,1
30,14,57,21,0,0.7
40,16,55,22,0,1.4
48,23,58,22,0,1.7
54,25,62,21,0,1.7
53,29,68,20,0,1.4
52,32,73,19,0,1.1
59,24,79,18,0,1
63,22,82,18,0,0.8
55,19,83,17,0,0.9
46,19,84,17,0,0.8
40,22,86,17,0,0.6
48,25,85,17,0,0.5
54,27,85,17,0,0.7
52,24,86,17,0,0.6
43,25,86,17,0,0.6
45,22,88,17,0,0.6
46,24,89,17,0,0.6
42,18,87,17,0,0.8
24,21,85,17,0,0.7
20,12,84,17,0,0.8
23,11,82,17,0,0.7
24,8,78,17,0,0.7
23,14,75,18,0,1.5
29,20,72,19,0,1.2
36,20,69,19,0,1.4
40,23,68,19,0,1.7
40,16,67,19,0,1.4
45,11,64,20,0,1.1
40,5,63,20,0,1.5
30,7,68,18,0,1.2
29,14,73,16,0,0.9
32,10,76,15,0,0.8
33,11,78,15,0,0.8
19,10,79,14,0,2
11,7,78,14,0,1
9,8,77,14,0,0.7
8,6,76,14,0,1.1
3,4,76,14,0,0.6
7,2,77,14,0,0.9
17,2,77,14,0,0.7
22,4,77,14,0,0.5
20,4,76,14,0,1.1
15,8,76,14,0,0.5
13,14,77,14,0,0.6
15,15,76,14,0,1.1
24,13,73,15,0,1.2
34,16,68,16,0,1.7
38,21,62,18,0,0.8
38,28,60,19,0,0.8
34,22,58,20,0,1.3
37,25,58,20,0,1.2
35,25,62,18,0,1.3
47,27,64,18,0,0.9
53,29,66,17,0,1
52,26,69,16,0,1
43,29,72,15,0,0.8
34,24,74,15,0,0.7
33,24,74,14,0,0.9
29,22,75,14,0,0.7
20,20,75,14,0,0.4
16,11,76,14,0,0.6
19,12,75,14,0,0.8
21,6,74,14,0,1.3
23,12,73,14,0,0.9
18,7,74,14,0,0.7
24,10,74,14,0,0.7
23,9,74,14,0,0.9
18,12,74,14,0,1.3
13,11,73,15,0,0.7
5,8,71,15,0,0.6
11,9,67,17,0,0.5
13,19,60,19,0,0.9
18,21,57,20,0,1.4
28,19,56,21,0,1.3
38,13,58,21,0,2.3
49,16,58,21,0,2.5
49,14,60,20,0,2.4
49,13,64,19,0,2.3
44,12,68,18,0,0.8
42,19,70,17,0,0.7
40,23,72,17,0,0.7
35,15,72,16,0,0.6
29,19,74,16,0,0.5
26,18,75,15,0,0.6
31,18,76,15,0,0.7
34,18,76,15,0,0.5
36,21,75,16,0,0.4
26,29,75,16,0,0.2
28,19,75,16,0,0.7
28,14,76,16,0,0.1
43,18,77,16,0,0.2
43,23,78,16,0,0.6
49,27,77,16,0,0.5
52,22,73,17,0,1
68,39,68,18,0,0.5
80,44,60,20,0,0.5
79,44,58,21,0,1
77,43,58,22,0,1.8
69,36,61,21,0,1.9
49,29,64,21,0,2.2
48,23,69,20,0,2.6
44,20,73,19,0,1.5
49,11,78,18,0,1.4
50,21,81,17,0,1.1
45,24,83,17,0,0.4
47,24,83,17,0,1
46,19,82,17,0,0.5
45,13,82,17,0,0.6
37,19,82,17,0,0.6
37,19,82,17,0,0.4
44,24,83,17,0,0.6
51,18,83,17,0,0.2
55,23,83,17,0,0.5
52,27,83,17,0,0.5
50,35,85,16,0,0.7
43,25,86,16,0,0.7
35,13,83,16,0,0.8
33,14,79,17,0,0.9
32,20,75,18,0,1.4
39,20,71,19,0,1.6
38,18,69,19,0,1.6
39,18,70,20,0,2
38,16,75,19,0,2.3
38,15,79,18,0,1.1
36,8,80,17,0,1
38,9,80,17,0,1.1
30,10,80,17,0,0.8
29,12,82,17,0,0.7
22,16,83,17,0,1.1
28,14,83,16,0,0.4
24,15,84,16,0,0.9
21,16,86,16,0,0.9
13,13,87,16,0,0.6
16,16,87,16,0,0.4
17,13,85,16,0,0.6
18,12,84,15,0,0.9
10,8,83,15,0,0.8
6,7,82,15,0,0.8
2,7,82,15,0,0.6
10,9,82,15,0,0.8
15,4,82,15,0,1
30,10,79,16,0,1.1
25,12,75,17,0,0.8
25,16,69,18,0,1
24,16,66,19,0,1.2
38,15,67,19,0,1.2
53,24,67,18,0,1.3
52,23,67,18,0,0.9
47,26,68,17,0,1.3
39,18,69,16,0,1.3
43,21,72,15,0,1.1
42,19,74,15,0,1.6
48,25,75,14,0,1.1
44,22,77,14,0,0.9
50,33,77,14,0,1.5
46,39,76,14,0,0.8
49,37,76,14,0,0.9
52,39,76,14,0,1.1
63,39,76,13,0,2
61,47,77,13,0,0.9
56,38,76,12,0,0.8
50,23,75,12,0,2.2
50,24,74,12,0,1.5
53,26,73,12,0,1.3
47,35,73,13,0,1.5
48,33,73,13,0,0.8
60,48,72,13,0,0.7
86,58,68,14,0,0.8
105,74,63,15,0,1.2
118,81,60,15,0,1.1
137,95,57,15,0,1.4
169,98,56,14,0,1.7
168,89,55,14,0,0.9
147,93,58,14,0,0.8
119,78,60,13,0,1.3
119,84,63,13,0,1.1
124,77,63,12,0,1.3
119,89,62,12,0,2.2
105,78,62,12,0,2.3
89,72,61,12,0,1.8
84,63,61,12,0,1
79,61,60,12,0,1.4
81,56,61,12,0,1
72,55,62,12,0,0.7
62,53,62,12,0,0.6
48,46,62,12,0,0.9
46,40,63,12,0,0.9
48,32,63,12,0,0.7
56,35,64,12,0,0.7
54,27,65,12,0,0.7
58,30,65,13,0,0.7
56,28,63,14,0,0.6
68,35,62,14,0,0.6
62,32,59,15,0,0.9
61,28,57,16,0,0.8
60,32,58,17,0,1
71,37,58,17,0,0.9
75,50,59,17,0,0.7
82,41,63,16,0,1
76,40,68,14,0,0.9
68,28,73,13,0,0.8
53,31,74,13,0,1.2
48,33,73,13,0,0.9
48,35,72,13,0,0.6
45,37,74,13,0,0.8
41,33,76,13,0,0.8
35,31,77,12,0,0.4
38,27,77,12,0,0.6
43,28,78,12,0,0.4
45,33,77,13,0,0.1
45,42,80,12,0,0.2
50,45,80,13,0,0.2
55,44,79,13,0,0.2
60,48,76,14,0,0.4
74,56,70,15,0,0.3
92,58,65,17,0,0.8
89,58,61,18,0,0.9
81,49,53,20,0,1.3
76,48,49,22,0,1.9
74,45,64,20,0,2.3
58,38,71,18,0,1.5
43,37,73,17,0,1.3
49,29,76,17,0,0.7
60,32,79,16,0,0.9
63,37,80,16,0,0.6
59,35,81,16,0,0.7
59,37,82,16,0,0.8
58,27,82,16,0,0.5
55,38,83,16,0,0.7
50,28,84,15,0,0.5
48,28,85,16,0,0.4
52,21,83,16,0,0.6
44,23,81,15,0,0.9
42,22,78,14,0,0.7
37,21,77,14,0,0.6
38,24,77,14,0,1.2
41,20,77,14,0,1.3
52,22,73,14,0,1.2
69,23,66,15,0,2.8
75,27,60,16,0,2.9
79,35,53,17,0,2.9
74,36,49,17,0,2.3
69,51,48,18,0,0.9
66,46,48,17,0,1
71,53,49,16,0,1.5
83,46,53,15,0,1.6
87,55,56,15,0,1.9
97,59,59,14,0,1.9
93,61,64,13,0,2
78,53,62,13,0,1.9
53,45,60,13,0,1.5
37,38,59,12,0,1.7
33,28,57,12,0,2
29,19,55,12,0,1.8
25,13,53,12,0,2.1
23,21,53,12,0,1.8
24,15,54,12,0,1.1
34,18,54,12,0,1.3
36,10,57,12,0,1.2
36,10,60,12,0,0.8
32,7,61,12,0,0.7
26,11,60,12,0,2.5
29,9,59,12,0,3.5
31,9,57,13,0,1.9
36,7,55,13,0,1.5
37,10,54,14,0,1.4
29,10,54,15,0,0.9
23,10,53,15,0,1.2
31,11,52,15,0,1.3
32,8,53,15,0,1
39,7,56,14,0,0.9
34,10,62,13,0,1
40,14,66,12,0,1.2
36,13,68,12,0,2.6
30,12,68,11,0,2.3
21,9,68,11,0,2.5
14,11,68,11,0,2.1
11,11,68,12,0,1.8
13,9,67,12,0,1.7
15,7,67,12,0,1.8
16,3,67,12,0,0.9
12,2,66,12,0,0.6
7,5,65,12,0,1.5
7,6,66,12,0,0.8
12,10,65,12,0,1.3
22,10,62,13,0,1.1
32,9,57,15,0,1.2
41,10,53,16,0,0.7
41,10,50,17,0,1
43,12,49,18,0,1
43,8,51,18,0,1.4
54,16,53,18,0,1.6
49,18,55,17,0,1.9
49,24,57,16,0,1
47,18,60,16,0,1
47,14,63,15,0,0.8
48,20,65,14,0,0.9
46,14,66,14,0,1.1
50,25,67,14,0,0.5
51,24,68,14,0,0.7
57,27,69,14,0,0.4
61,27,71,13,0,0.4
59,18,73,13,0,0.1
51,22,75,13,0,0.2
45,18,72,13,0,0.7
36,25,71,13,0,0.1
36,24,75,13,0,0.1
28,27,75,13,0,0.3
