퐑�� PM10,퐑�� PM2.5,퐑�� RH,퐑�� Temp,퐑�� Rain,퐑�� Wind
37,12,83,17,0,5.7
44,10,82,17,0,6
46,11,80,17,0,6.9
46,13,78,18,0,7.2
54,10,76,18,0,7.8
49,8,72,18,0,6.9
38,14,69,19,0,5.9
43,15,70,18,0,5.2
44,13,76,17,0,7.9
40,12,79,16,0,8.5
28,10,80,15,0,7.7
16,9,79,14,0,8
21,15,80,14,0,7.2
23,13,79,14,0,6.3
24,11,78,14,0,7.1
26,19,77,14,0,6.7
22,18,78,14,0,6
21,15,79,14,0,5.3
21,16,78,14,0,6.7
26,13,78,14,0,6.7
34,16,78,14,0,6.2
38,21,79,14,0,6.7
45,27,79,14,0,6.9
46,30,79,14,0,7.3
43,28,75,15,0,7.6
45,34,71,16,0,7.8
53,36,68,17,0,6.2
64,35,68,18,0,6.5
79,43,67,18,0,7.6
87,47,68,18,0,8.9
82,43,69,17,0,8.9
73,38,71,17,0,8.1
57,34,74,16,0,8
40,30,77,15,0,6.7
39,26,78,15,0,6.1
37,23,77,15,0,5.5
29,20,76,15,0,5.2
28,19,76,14,0,4.8
34,22,76,14,0,5
35,25,77,14,0,4.4
33,24,77,14,0,4.4
35,23,77,15,0,4.6
31,19,75,15,0,4.5
24,14,76,15,0,4.3
26,14,77,15,0,4.7
23,12,77,15,0,4.5
21,11,77,15,0,4.2
26,9,76,15,0,3.9
23,10,74,15,0,4.2
26,15,69,17,0,3.6
39,17,68,18,0,2.5
49,20,65,19,0,3.3
51,16,66,19,0,4.2
55,15,65,20,0,6
57,19,68,19,0,5.3
55,21,68,19,0,5.1
53,20,72,18,0,5.9
46,19,74,17,0,5.1
38,16,77,17,0,4.7
35,14,77,17,0,4.3
38,15,76,17,0,3.4
34,17,77,16,0,3.4
32,16,78,16,0,3
38,16,79,15,0,2
38,15,79,15,0,1.5
33,14,78,16,0,1.8
31,14,77,16,0,1.3
32,15,77,16,0,0.5
32,16,78,16,0,1.1
32,15,79,16,0,0.7
28,15,80,15,0,1.1
37,23,80,16,0,1.6
54,25,77,17,0,2.4
56,20,70,18,0,1.9
46,21,72,19,0,1.2
43,24,73,19,0,1.1
54,26,75,19,0,0.7
55,28,75,19,0,1.2
58,22,76,19,0,3.9
60,16,77,19,0,3.9
60,19,78,18,0,3.9
54,18,81,17,0,2.7
40,12,83,17,0,2.5
33,8,84,17,0,2.5
39,9,85,17,0,2.8
39,12,85,17,0,1.6
35,9,86,17,0,1.8
39,10,87,17,0,1
44,17,88,17,0,1.2
55,18,87,17,0,0.6
62,22,87,17,0,1.7
51,23,87,17,0,2.7
44,23,88,16,0,4.8
38,19,88,16,0,4.5
31,14,88,16,0,3.3
33,18,87,16,0,3.7
40,22,85,17,0,3.7
44,23,83,17,0,3.7
40,20,81,18,0,3.5
37,18,82,18,0,3.1
48,12,82,18,0,2.7
46,15,84,17,0,5.3
33,16,84,17,0,5.9
34,8,84,17,0,5.8
34,7,84,17,0,5.9
31,8,84,17,0,6.1
27,8,85,17,0,5.2
22,11,85,17,0,4.9
23,14,86,17,0,4.4
26,14,86,17,0,4.4
21,11,86,17,0,6.3
26,13,86,16,0,6
35,14,85,16,0,5.8
28,13,84,16,0,5.8
21,11,83,16,0,5.6
27,12,82,16,0,6.1
23,11,80,16,0,5.6
20,10,82,16,0,5.2
21,11,83,16,0,4.1
24,13,84,15,0,3.9
27,16,81,16,0,3.9
28,14,75,18,0,5.1
38,14,76,18,0,6.3
54,15,75,18,0,7
55,19,74,17,0,8.6
53,17,70,18,0,7.7
55,17,70,17,0,7.6
50,20,70,17,0,6.8
48,16,72,16,0,7
49,21,74,15,0,7.4
53,29,76,15,0,7.1
59,32,77,14,0,5.6
55,36,78,14,0,6.1
57,36,77,14,0,5
66,39,77,15,0,5.5
76,48,77,15,0,7.5
78,50,76,14,0,7.8
67,47,77,13,0,7.8
57,43,76,13,0,7.7
56,37,73,13,0,7.9
54,31,72,13,0,8.2
55,34,67,13,0,7.1
68,45,68,13,0,7.8
87,59,72,13,0,6.4
100,73,72,13,0,7.5
115,86,69,13,0,8
128,91,64,14,0,7.6
137,87,61,15,0,7.4
144,91,57,16,0,6.7
174,94,59,15,0,10
187,91,57,15,0,10
163,87,57,15,0,8.6
143,88,58,14,0,8.1
123,84,58,13,0,7.8
110,81,61,13,0,6.7
111,83,62,13,0,6.8
112,88,62,13,0,6.5
110,86,62,12,0,6.1
104,81,60,12,0,6
99,75,60,12,0,5.2
98,68,61,12,0,5
87,60,61,12,0,5.4
68,50,61,12,0,4.6
57,42,62,12,0,4.4
51,35,63,12,0,4.8
45,31,63,12,0,4.6
43,26,65,12,0,3.9
34,21,66,12,0,4.4
34,23,65,13,0,4.1
42,19,65,13,0,3.7
39,18,64,14,0,3.5
39,22,65,15,0,3.8
51,22,64,15,0,3.7
54,21,62,16,0,4.1
50,18,61,16,0,4.3
54,21,62,16,0,3.1
59,26,66,16,0,1.2
68,29,71,15,0,2.5
70,33,74,14,0,2.9
55,30,76,14,0,4.4
49,28,77,13,0,3.3
46,29,77,13,0,2.8
44,30,79,13,0,2.9
48,33,80,13,0,2.5
49,35,80,13,0,2.2
50,36,81,13,0,2.3
49,33,81,13,0,2.1
49,31,82,13,0,2.1
48,31,81,13,0,2.1
45,32,81,13,0,2.2
59,42,81,13,0,1.3
79,61,82,13,0,0.8
95,72,80,14,0,0.4
88,60,75,16,0,0.7
72,43,75,17,0,3.5
65,34,72,18,0,3
62,34,65,20,0,1.2
61,32,75,18,0,0.8
56,27,76,18,0,2.8
56,27,78,17,0,4.2
53,23,78,17,0,4.7
49,20,80,16,0,4.1
53,21,81,16,0,4.4
46,20,82,16,0,4
45,20,83,16,0,3.9
51,23,84,16,0,3.5
